['facebook/bart-large-mnli_TREC-perturbed-char-letter-case-changing_score'],['facebook/bart-large-mnli_TREC-perturbed-char-letter-case-changing_label']
0.9928193092346191,positive
0.9982725977897644,negative
0.9958985447883606,positive
0.9917119145393372,positive
0.9889430403709412,negative
0.9860172271728516,positive
0.9135322570800781,negative
0.6237751245498657,negative
0.9789831638336182,positive
0.9556882977485657,negative
0.9930749535560608,positive
0.9762101173400879,negative
0.9919583797454834,negative
0.7656310200691223,negative
0.9859868288040161,negative
0.9814746379852295,positive
0.9297162890434265,negative
0.9778253436088562,positive
0.9714992642402649,negative
0.9108098745346069,negative
0.6671754717826843,negative
0.5545193552970886,positive
0.8463722467422485,positive
0.9889144897460938,positive
0.9541696310043335,positive
0.8067525625228882,negative
0.823238730430603,negative
0.6662536859512329,negative
0.9523994326591492,negative
0.9967833161354065,negative
0.9656469225883484,positive
0.5385900735855103,negative
0.9899740219116211,positive
0.8263128399848938,negative
0.9974172711372375,negative
0.8194032311439514,negative
0.9947298169136047,positive
0.6426106095314026,negative
0.5981312394142151,positive
0.9961804151535034,positive
0.9954219460487366,positive
0.9398110508918762,positive
0.9606284499168396,negative
0.9862959980964661,positive
0.9436733722686768,negative
0.8071140050888062,positive
0.7768383026123047,positive
0.6526508927345276,positive
0.9726303219795227,positive
0.9972911477088928,negative
0.9396398067474365,negative
0.9899814128875732,positive
0.7971669435501099,positive
0.6789659857749939,positive
0.9832035303115845,negative
0.8809593915939331,positive
0.9907846450805664,negative
0.973322868347168,negative
0.9798969030380249,negative
0.9947637915611267,negative
0.9066953659057617,positive
0.9557949304580688,negative
0.5680961608886719,negative
0.9959355592727661,positive
0.7867773175239563,negative
0.853465735912323,negative
0.5195784568786621,negative
0.9955546855926514,positive
0.8736782670021057,positive
0.9959976673126221,negative
0.801673173904419,negative
0.9857103228569031,positive
0.7582400441169739,positive
0.906872034072876,negative
0.9536503553390503,negative
0.9137313961982727,positive
0.993000864982605,negative
0.9307947754859924,positive
0.7619530558586121,negative
0.9983610510826111,negative
0.9699274301528931,positive
0.914065957069397,negative
0.9905136227607727,negative
0.9894759654998779,positive
0.9937828183174133,positive
0.8589507937431335,positive
0.9932771921157837,negative
0.7635894417762756,negative
0.9847405552864075,negative
