text	label
it a charming and often affecting journey . 	0
unflinchingly bleak desperate 	1
allows us to that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	2
the acting , costumes , music , cinematography and sound are all astounding given the 's austere locales . 	3
it 's slow -- very , very . 	4
although laced with humor and a few fanciful touches , the film is a refreshingly look at young women . 	5
a sometimes tedious . 	6
or doing last 's taxes with your ex-wife . 	7
you do n't to know about music to appreciate the film 's easygoing blend of comedy and romance . 	8
in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter . 	9
mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 	10
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same . 	11
... the film suffers from a lack of humor ( something needed balance out the violence ) ... 	12
we root for ( clara and paul ) , even like them , perhaps it 's an emotion closer to pity . 	13
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie both thrills and humor . 	14
a gorgeous , high-spirited musical from india that exquisitely blends music , dance , , and high drama . 	15
the emotions are raw and will strike a with anyone who 's ever had family trauma . 	16
audrey tatou has a knack for picking roles that magnify her outrageous charm , in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 	17
... movie is just a plain old monster . 	18
in its best moments , resembles a bad high school of grease , without benefit of song . 	19
pumpkin an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	20
iditarod lasts for days - this just felt like it did . 	21
caulfield did it better . 	22
a delectable and intriguing thriller filled with surprises , read my lips an original . 	23
seldom has a movie so closely the spirit of a man and his work . 	24
nicks , seemingly uncertain what 's going to make people laugh , runs gamut from stale parody to raunchy sex gags to formula romantic comedy . 	25
the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to a 125-year divide . 	26
's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 	27
it 's a cookie-cutter movie , a cut-and-paste . 	28
i had to away - this was god awful . 	29
thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the of men . 	30
... designed to provide a mix of smiles and tears , `` crossroads `` provokes a handful of unintentional howlers and numerous yawns . 	31
a gorgeous , , seductive movie . 	32
if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is too self-conscious to draw you deeply into its world . 	33
it does n't believe in itself , has no sense of humor ... it 's just plain bored . 	34
a sequence of shoot - 'em - up scenes . 	35
the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation . 	36
( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall wild chimpanzees is short on the thrills the oversize medium demands . 	37
surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 	38
escaping the studio , piccoli is warmly affecting and so is this adroitly movie . 	39
there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems . 	40
this illuminating documentary our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . 	41
the subtle strength of `` `` is that it never loses touch with the reality of the grim situation . 	42
holm ... embodies the with an effortlessly regal charisma . 	43
the title not describes its main characters , but the lazy people behind the camera as well . 	44
it offers little beyond the momentary joys of pretty and weightless entertainment . 	45
a synthesis of cliches and absurdities that seems positively decadent its cinematic flash and emptiness . 	46
a subtle and well-crafted ( for the most ) chiller . 	47
has a lot of the virtues eastwood at his best . 	48
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out her depth . 	49
it feels like an after-school special gussied up with some fancy special , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . 	50
for the most part , director anne-sophie birot 's feature is a sensitive , extraordinarily well-acted drama . 	51
mr. tsai is a very original artist in his , and what time is it there ? 	52
sade is an engaging look at the controversial eponymous fiercely atheistic hero . 	53
so devoid of any kind of intelligible story that it makes films like xxx and damage seem like thoughtful treatises 	54
a tender , heartfelt drama . 	55
... a hollow joke told by a cinematic gymnast having too much embellishing the misanthropic tale to actually engage it . 	56
the cold turkey would 've been a far better . 	57
to be both repulsively sadistic and mundane . 	58
it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the . 	59
this is a story of two misfits do n't stand a chance alone , but together they are magnificent . 	60
schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation the middle-aged character . 	61
the primitive force of this film seems to bubble up from the collective memory of the combatants . 	62
on this tricky topic , tadpole is very much a step in the direction , with its blend of frankness , civility and compassion . 	63
the script kicks in , mr. hartley 's distended pace and foot-dragging rhythms follow . 	64
you wonder why enough was n't just a music video rather a full-length movie . 	65
if you 're hard up for raunchy college humor , this your ticket right here . 	66
a , funny , highly enjoyable movie . 	67
good old-fashioned slash-and-hack back ! 	68
this one is definitely one to skip , even for movie fanatics . 	69
for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily never really builds up a head of emotional steam . 	70
exquisitely nuanced in tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . 	71
uses high to evoke surprising poignance . 	72
one of creepiest , scariest movies to come along in a long , long time , rivaling blair witch or the others . 	73
a string of rehashed sight gags in insipid vulgarity . 	74
among the year 's most explorations of alientation . 	75
the movie fails to live up to sum of its parts . 	76
son 's room is a triumph of gentility that earns its moments of pathos . 	77
there is nothing outstanding about this film , but it is good enough and will be appreciated most by sailors and folks who know their way around a submarine . 	78
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . 	79
the draw ( for `` big bad love `` ) is a performance by arliss howard . 	80
green might want to hang onto that ski mask , as robbery may be the only way to pay for next project . 	81
it 's pussy-ass world when even killer-thrillers revolve around group therapy sessions . 	82
though it 's become almost to say so , major kudos go to leigh for actually casting people who look working-class . 	83
the band 's courage in the face of official repression is inspiring , especially for aging ( this one included ) . 	84
the movie achieves as great an impact keeping these thoughts hidden as ... ( quills ) did by showing them . 	85
film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . 	86
jaglom ... put ( s ) audience in the privileged position of eavesdropping on his characters 	87
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare had a week ago that wo n't go away . 	88
we know the plot 's a little crazy , but it held my interest from start to . 	89
it 's a scattershot affair , but it hits its mark it 's brilliant . 	90
hardly a masterpiece , but it introduces viewers to a good charitable and some interesting real people . 	91
you wo n't like roger , but you quickly recognize him . 	92
if steven soderbergh 's ` solaris ' is a failure it a glorious failure . 	93
byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces situation to simple melodrama . 	94
this riveting world war ii moral suspense story deals with the side of american culture : racial prejudice in its ugly and diverse forms . 	95
it 's difficult to imagine the process that produced such a script , but 's guessing that spray cheese and underarm noises played a crucial role . 	96
no sophomore slump for director sam mendes , segues from oscar winner to oscar-winning potential with a smooth sleight of hand . 	97
on the whole , the movie lacks wit , feeling and believability to compensate for its incessant and banality . 	98
make a documentary about these marginal historical figures ? 	99
neither parker nor donovan is a typical romantic lead , but they a fresh , quirky charm to the formula . 	100
his last movie was poetically romantic and full of indelible images , but his latest has going for it . 	101
does paint some memorable images ... , but makhmalbaf keeps her distance the characters 	102
a gripping , played with performances that are all understated and touching . 	103
it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long to intimidate , but short enough to make a dream seem possible . 	104
combining quick-cut editing and a blaring heavy metal much of the time , seems to be under the illusion that he 's shooting the latest system of a down video . 	105
the movie 's relatively simple plot and uncomplicated morality play well with the cast . 	106
what director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . 	107
too often , the viewer is n't reacting to humor so much as they are back in repugnance . 	108
it 's great escapist fun that recreates a place and time will never happen again . 	109
scores no points for originality , wit , or . 	110
there is n't nearly enough fun , despite the presence of some appealing ingredients . 	111
hilariously inept and . 	112
this movie is . 	113
it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while it . 	114
sam mendes has become valedictorian at the school for soft landings easy ways out . 	115
one of the smartest takes on singles culture i 've seen in a time . 	116
moody , heartbreaking , and filmed in a natural , unforced that makes its characters seem entirely convincing even when its script is not . 	117
nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 	118
comes ... uncomfortably close to coasting in the of the bicycle thief . 	119
warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating between women , water , nature , and sexuality . 	120
it seems to me the film is about the art of ripping people off without ever letting them consciously you have done so 	121
old-form moviemaking at its . 	122
turns potentially forgettable formula into strangely diverting . 	123
( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in first place . 	124
a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's with imagination and flair . 	125
the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . 	126
in the end , we are left with something like two ships passing in night rather than any insights into gay love , chinese society or the price one pays for being dishonest . 	127
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky but not stereotyped -- street characters . 	128
it provides the grand , entertainment of a superior cast playing smart people amid a compelling plot . 	129
suffers from the lack of a compelling or narrative . 	130
in execution , this clever is far less funny than the original , killers from space . 	131
scooby dooby doo / and shaggy too / you both look and sound . 	132
the tale of tok ( lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . 	133
it all drags on so interminably it 's watching a miserable relationship unfold in real time . 	134
pumpkin means be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	135
looks and feels like a project better suited for the screen . 	136
, familiar and thoroughly condescending . 	137
that a compliment to kuras and miller . 	138
's not the ultimate depression-era gangster movie . 	139
sacrifices the value of its wealth of foot-age with its less-than-objective stance . 	140
character of zigzag is not sufficiently developed to support a film constructed around him . 	141
what better message than ` love thyself ' young women of any size receive ? 	142
a solid film but more conscientious than it is truly stirring . 	143
while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless film . 	144
the best that can be about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 	145
