text	label
it 's 's a charming and often affecting journey . 	0
unflinchingly bleak and and desperate 	1
allows us to hope hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	2
the acting , costumes , music , cinematography and sound are all astounding given the production production 's austere locales . 	3
it 's slow -- very , very slow slow . 	4
although laced with humor and a few fanciful touches , the film is a refreshingly serious serious look at young women . 	5
a sometimes tedious film film . 	6
or doing last year year 's taxes with your ex-wife . 	7
you do n't have have to know about music to appreciate the film 's easygoing blend of comedy and romance . 	8
in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey turkey . 	9
the the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 	10
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie movie . 	11
... the film suffers from a lack of humor ( something needed to to balance out the violence ) ... 	12
we root for ( clara and paul ) , even like them , though though perhaps it 's an emotion closer to pity . 	13
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks lacks both thrills and humor . 	14
a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song song , and high drama . 	15
the emotions are raw and will strike a nerve nerve with anyone who 's ever had family trauma . 	16
audrey tatou has a knack for picking roles that magnify her outrageous charm , and and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 	17
... the the movie is just a plain old monster . 	18
in its best moments , resembles a bad high school production production of grease , without benefit of song . 	19
pumpkin takes takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	20
the the iditarod lasts for days - this just felt like it did . 	21
holden holden caulfield did it better . 	22
a delectable and intriguing thriller filled with surprises , read my lips is is an original . 	23
seldom has a movie so closely matched matched the spirit of a man and his work . 	24
nicks , seemingly uncertain what 's going to make people laugh , runs the the gamut from stale parody to raunchy sex gags to formula romantic comedy . 	25
the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span span a 125-year divide . 	26
it it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 	27
it 's a cookie-cutter movie , a cut-and-paste job job . 	28
i had to look look away - this was god awful . 	29
thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company company of men . 	30
... designed to provide a mix of smiles and tears , `` crossroads `` instead instead provokes a handful of unintentional howlers and numerous yawns . 	31
a gorgeous , witty witty , seductive movie . 	32
if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far far too self-conscious to draw you deeply into its world . 	33
it does n't believe in itself , it it has no sense of humor ... it 's just plain bored . 	34
a sequence of ridiculous ridiculous shoot - 'em - up scenes . 	35
the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough enough . 	36
( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's 's wild chimpanzees is short on the thrills the oversize medium demands . 	37
as as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 	38
escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist minimalist movie . 	39
there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate appropriate . 	40
this illuminating documentary transcends transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . 	41
the subtle strength of `` elling elling `` is that it never loses touch with the reality of the grim situation . 	42
holm ... embodies the character character with an effortlessly regal charisma . 	43
the title not only only describes its main characters , but the lazy people behind the camera as well . 	44
it offers little beyond the momentary joys of pretty and weightless intellectual intellectual entertainment . 	45
a synthesis of cliches and absurdities that seems positively decadent in in its cinematic flash and emptiness . 	46
a subtle and well-crafted ( for the most part part ) chiller . 	47
has a lot of the virtues of of eastwood at his best . 	48
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of of her depth . 	49
it feels like an after-school special gussied up with some fancy special effects effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . 	50
for the most part , director anne-sophie birot 's first first feature is a sensitive , extraordinarily well-acted drama . 	51
mr. tsai is a very original artist in his medium medium , and what time is it there ? 	52
sade is an engaging look at the controversial eponymous and and fiercely atheistic hero . 	53
so devoid of any kind of intelligible story that it makes films like xxx and collateral collateral damage seem like thoughtful treatises 	54
a tender , heartfelt family family drama . 	55
... a hollow joke told by a cinematic gymnast having too much fun fun embellishing the misanthropic tale to actually engage it . 	56
the cold turkey would 've been a far better title title . 	57
manages manages to be both repulsively sadistic and mundane . 	58
it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface surface . 	59
this is a story of two misfits who who do n't stand a chance alone , but together they are magnificent . 	60
schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of of the middle-aged character . 	61
the primitive force of this film seems to bubble up from the vast vast collective memory of the combatants . 	62
on this tricky topic , tadpole is very much a step in the right right direction , with its blend of frankness , civility and compassion . 	63
the script kicks in , and and mr. hartley 's distended pace and foot-dragging rhythms follow . 	64
you wonder why enough was n't just a music video rather than than a full-length movie . 	65
if you 're hard up for raunchy college humor , this is is your ticket right here . 	66
a fast fast , funny , highly enjoyable movie . 	67
good old-fashioned slash-and-hack is is back ! 	68
this one is definitely one to skip , even for horror horror movie fanatics . 	69
for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou chou-chou never really builds up a head of emotional steam . 	70
exquisitely nuanced in mood mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . 	71
uses high comedy comedy to evoke surprising poignance . 	72
one of creepiest , scariest movies to come along in a long , long time , easily easily rivaling blair witch or the others . 	73
a string of rehashed sight gags based based in insipid vulgarity . 	74
among the year 's most intriguing intriguing explorations of alientation . 	75
the movie fails to live up to the the sum of its parts . 	76
the the son 's room is a triumph of gentility that earns its moments of pathos . 	77
there is nothing outstanding about this film , but it is good enough and will likely likely be appreciated most by sailors and folks who know their way around a submarine . 	78
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . 	79
the draw ( for `` big bad love `` ) is a solid solid performance by arliss howard . 	80
green might want to hang onto that ski mask , as robbery may be the only way to pay for his his next project . 	81
it 's one one pussy-ass world when even killer-thrillers revolve around group therapy sessions . 	82
though it 's become almost redundant redundant to say so , major kudos go to leigh for actually casting people who look working-class . 	83
the band 's courage in the face of official repression is inspiring , especially for aging hippies hippies ( this one included ) . 	84
the movie achieves as great an impact by by keeping these thoughts hidden as ... ( quills ) did by showing them . 	85
the the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . 	86
jaglom ... put ( s ) the the audience in the privileged position of eavesdropping on his characters 	87
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you you had a week ago that wo n't go away . 	88
we know the plot 's a little crazy , but it held my interest from start to finish finish . 	89
it 's a scattershot affair , but when when it hits its mark it 's brilliant . 	90
hardly a masterpiece , but it introduces viewers to a good charitable enterprise enterprise and some interesting real people . 	91
you wo n't like roger , but you will will quickly recognize him . 	92
if steven soderbergh 's ` solaris ' is a failure it is is a glorious failure . 	93
