label	text
0	"Albert Pyun presents his vision of the lost city of Atlantis - and it's a vision so cluttered up with claustrophobic settings, weird costumes and noisy, ""quirky"" minor characters that one thing is for sure: you want to get the hell outta there as soon as possible (unfortunately, it will take you about 80 minutes). The ""Alice in Wonderland""-like story is meandering and uninteresting, and there was probably no actress in the world who could have turned this into a good movie, though Kathy Ireland makes an appealing (annoying voice and all) attempt. (*1/2)"
0	"While watching BLACKWATER VALLEY EXORCISM, I encountered scenarios and dialog so incredibly bad that I was convinced that this was supposed to be a comedy. A few choice bits of dialog worthy of a belly laugh: ""I ate a rabbit."" ""I TOLD you she was possessed!"" ""Are you telling me the Devil is in my daughter?!""<br /><br />There are many, many more, but you must discover these for yourself - if you dare.<br /><br />The story goes off into all sorts of directions and things happen that probably shouldn't and everyone seems to be a perv or psycho of some sort (even the Priest). And I haven't even gotten to the bad acting. Most notable in this area is the fellow playing Isabelle's father. The director must have just told him to act like he's got a stick up his @$$ because that's the general impression one gets.<br /><br />I don't really want to steer anyone away from BLACKWATER VALLEY EXORCISM because there is entertainment value to be had...for all the wrong reasons, but if you're looking for a decent horror movie that makes sense and is actually scary...well, run don't walk."
1	"Once again Almenábar has provided us with a top quality film. This director is amazing, and he's proven that he's equally talented and effective when crossing genres. <br /><br />The excellent character development of the movie, through dialogue and personality quirks, but with more subtle details as well (Ramon's father's gaze), allows the audience to identify with the protagonists very closely, making the importance and emotional impact of the events which take place all the more profound. The visuals are at times, simple, at times stunning (the dream to the beach), and I think Almenábar's films really benefit from the fact that he also composes the music - it matched the film's varying moods flawlessly.<br /><br />More than just a film about euthanasia, which in itself is an important issue, this film tackles the duality of a man who at times genuinely seems to enjoy life (albeit in a quite limited way), and yet one who is unswerving in his desire to die. The overwhelming sadness of the film is punctuated by well-timed quips of humor, which seem all the funnier because they provide a welcome respite from the melancholy you will certainly feel.<br /><br />Although clearly in favor of euthanasia, this film does an excellent job representing the myriad points of view of Ramon's friends and family. Most poignant was Ramon's father, when he said, despondent, ""There's only one thing worse than losing a child. That the child wants to die.""<br /><br />Excellent writing, acting, directing, cinematography, music - 10/10."
1	"Not all, but most of this story is Buster being mistaken for ""Dead Shot Dan,"" a notorious criminal. <br /><br />There really is no story, just a series of adventures to show off Buster's physical talents, which are amazing, and his comedic timing. The 27-minute film is basically one adventure after the other mostly involving someone chasing our hero.<br /><br />Earlier, it's a couple of policemen on their beats racing through the streets after Keaton and later it's ""Big Joe"" Roberts, a rotund cop - and father a girl Buster is interested in - who chases him. Those latter scenes were the best I thought, with a lot of clever gags involving the hotel elevator where Big Joe and his daughter live. That was Keaton at his best.<br /><br />It's just a madcap half hour that makes little sense, but cares? It's Buster at his slapstick best, or near it, and so it serves its purpose: to entertain us. Just think: 85 years after this film was made there are people (like me) still discovering and enjoying these silent comedy classics! Cool!"
1	Lost has been one of the most mesmerizing and thrilling experience I've ever seen. Not only it's the mother of coincidence, but also every time that you think you can set up the whole puzzle in your head, the story takes a completely new direction.<br /><br />Take this casualty for example, The US marine, whom gives Sayid the way to become a Torturer, Is Clancy Brown, playing a character named Joe Inman. In the last episode, he is playing Kelvin Inman, the Desmond partner in the Hatch. Destiny, uh? Yeah Right!<br /><br />I guess that all of us will have to wait, to see what's next in the life of the wonder people in that strange island, in the middle of nowhere. Knowing that several of my favorites characters, Desmond, Sayid and Mr. Eko, have an unclear destiny<br /><br />I believe that along with 24 and The Shield, this is one of the best TV shows ever, of course, keeping Twin Peaks at a special place.
1	"As i watched ""Wirey Spindell"" i couldnt but laugh at what was taking place on screen. Wirey sure got a lot of play from both boys and women but i was confused as to why the actor that played Wirey in H.S. was 10 years old. Then the actor changed age to like 20 to play Wirey when he was a senior in HS...but whatever, i thought it was funny."
0	Hellboy revolves around classic comic book/action/superhero genre story lines. Essentially Hellboy is a kind of demon who has found his way on earth. He is brought up from a child by a priest and within a government society and has chosen to protect the people of earth from the supernatural, rather then be a menace (the normal career route for a demon).<br /><br />The set up of the story involves creative uses of history, combining Nazi experiments with the occult. It's preposterous, but so is the whole idea of a demon roaming the streets. I find the explanations of the characters, who they are and how they came to be very well handled. The sequences are to the point and very entertaining. In fact the opening is the best part of the film, therein lays the problem.<br /><br />Essentially Del Toro who both writes and directs this piece bottles it. The film is absent of all tension or any major conflict. Hellboy is essentially established as invincible within the first act and so the rest of the film comprises of scenes in which any conflict is automatically rather crass because we know inevitably Hellboy will be OK and the bad guy will die. I hear you cry that this is the case for any action/hero film. Well yes it is, but once we are drawn into a well made action film we can't help but feel the hero may die. Die Hard works because John Mclane looks likely to die at all parts. He escapes death by the slimmest of margins. The stakes are raised as his wife is also in danger etc etc Terminator and Terminator two work because in both cases the villain is far superior than the hero. The threat and tension is constant.<br /><br />Some of the other major weaknesses are: Del Toro is also guilty of employing deus ex machina. Characters generally disappear and reappear as their skills are needed within the story. The villain is featured in maybe three scenes. He has no motives. Turns up unexpectedly and inexplicably. In the one scene Hellboy looks to be up against a real threat (groups of monsters) a character unleashes her abilities - the screen fades to white and inexplicably the monsters are dead but everybody else lives. A minor character established in an irritating and undeveloped love story becomes the key to the conclusion of the film. Her character is so thin, the relationship so undeveloped. It is clear she is nothing more than a prop of sorts to push the plot along and to make it all make sense. I don't want to ruin the ending of the film but essentially a character that is dead is miraculously and unbelievably brought back to life.<br /><br />The film suffers from poor dialogue and one liners that just aren't smart or funny. After a while it all starts to grate.<br /><br />What's more Del Toro blows the action scenes with some uninspired visuals. And whoever made the creative decision to make hellboy's primary weapon a gun instead of his clunking arm should be fired. Essentially the use of the gun weakens the concept of the film, degrading the fights to nothing more than a one sided shoot out <br /><br />The few positives include: The cinematography is very good. At all times a sense of mood is established by the dark lighting and the darker colour palette. As well as the use of interesting locations. Yet perhaps it is all a bit samey as well.<br /><br />The use of cgi and Fx is well done. Never do we get an over load. When effects are used they are used well and the sense of realism is kept. Rather similar to how Nolan used FX in batman. I much prefer this method to the overtop effects we often see.<br /><br />All in all this is a pretty poor film. The real shame is that (despite not reading the comics) I found the film wasted a lot of potential. Hellboy as a character has a lot of instantly apparent fascinating dimensions which are completely unexplored. The film has watch-ability, in the sense that if it comes on TV and nothing else is on it might be worth a viewing. But in any other situation I wouldn't bother with it.
1	Superb silent version of the story of Francois Villon. Although remade in the thirties as IF I WERE KING, with Frank Lloyd directing, Preston Sturges scripting and Ronald Colman starring, this version is even better. Barrymore, with a cohort of comedians, plays the comic fool and the wine-depressed Villon with a verve that Colman could not match. The photography is startling in its beauty and innovation and the supporting cast, particularly Conrad Veidt in his American premiere, the incredibly beautiful Marceline Day, and the supporting comics, Slim Summerville and Hank Mann, steal every scene they are in.<br /><br />It is a shame that Barrymore did so few first-rate comedies. Among his sound films, only his lead in TWENTIETH CENTURY and his supporting role in MIDNIGHT can compare to this, and those stand up only because of his superb voice. In this silent movie, Barrymore must tell his tale without benefit of words, and he does so, alternately hilariously unrecognizable as the King of the Fools and tenderly as Villon in love. He even gets to leap around in the swashbuckling style of Fairbanks, most convincingly. He also lets his supporting cast have their share of glory, capering in this ensemble work like any talented comic of the era.<br /><br />Finally, a brief word about Alan Crosland, a director known today only for directing the first talking feature, THE JAZZ SINGER in the same year this was released. Crosland was a careful, innovative, delightfully original director, and it is a shame that more of his works are not known. Perhaps this movie, far more interesting as a movie than his best-known work, will be your introduction to his other talents. If so, you could do far worse.
1	"From ""36 Chowringhee Lane"" to ""15 Park Avenue"", Aparna Sen has indeed traveled a long way. If the first one goes down in history as a débutant's clean sweep the latter will definitely carve a special place as a ""mature"" film. Until you see 15 Park Avenue you cannot imagine feeling thrilled and moved at the same time. Thrilled to see the director's ingenuity and agility in portraying seriously challenging situations and moved by the sensitivity echoing throughout the film. It is not a movie that merely makes you feel 'tchh tchh, how difficult life must be for schizophrenics', but makes you ask a much deeper question about the reality that you see and believe. Sen has done a brilliant job in highlighting this supreme fact of our existence that we all are, in some way or other, trying to live in a make-believe world of our own, trying to run after mirages called happiness, peace, contentment. Along with the depiction of a delusional mind, Sen's magic has brought forth many little nuances of human relationships as they sustain stress and strain. The fact that at times we all lose calm, break down, make wrong choices, be haunted by guilt, behave selfishly and so on, is captured with extreme adroitness by Sen. She showed the cruel dilemma which Shabana had to deal with all her life, of having to choose between a schizophrenic sister and a normal life with a husband and kids for herself. And in the act of always being beside her sister, always being a strong persona, providing support, making judgments and so on, she unknowingly cut off some of the oxygen that her sister needed to bloom. Isn't this a very harsh truth that at times, in an attempt to do the best for someone, we strangle their assertiveness and end up hurting their self-esteem? Of course Konkona's and Shabana's acting deserves laurels as always because had the ingredients not been so good, the dish could not have turned out to be so extraordinary. Aparna Sen once again made a masterpiece of a movie for those who crave for some ""food-for-thought"" . Bravo !"
0	Sherman Hemsley was great in the Jeffersons and especially All in the Family. He was also very good in Amen, why on earth would he do this movie? This movie has a terrible script and is a waste of a very funny man. Luis Avalos does the best he can but this is awful. This movie was the beginning of bankruptcy for Sherman Hemsley. I think he is very funny but this is an awful awful pointless ghost story. Stick with Ghostbusters.
