text	label
it 's a charming And often affecting journey . 	0
unflinchingly bleak and DESPERATE 	1
allows us to hope that nolan is poised to embark a major career as a COMMERCIAL yet inventive filmmaker . 	2
the acting , COSTUMES , music , cinematography and sound are all astounding given the production 's austere locales . 	3
it 's slow -- very , VERY slow . 	4
although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young Women . 	5
a sometimes tedious FILM . 	6
or doing last Year 's taxes with your ex-wife . 	7
you do n't have to know about music to appreciate The film 's easygoing blend of comedy and romance . 	8
in Exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . 	9
THE mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 	10
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , And reginald veljohnson all in the same movie . 	11
... the film suffers from a lack of humor ( something needed to Balance out the violence ) ... 	12
we root for ( clara and paul ) , even like them , though PERHAPS it 's an emotion closer to pity . 	13
even horror fans will most likely not find what they 're seeking with trouble every day ; The movie lacks both thrills and humor . 	14
a gorgeous , high-spirited musical from india That exquisitely blends music , dance , song , and high drama . 	15
the emotions are raw and will strike a nerve with anyone who 's ever HAD family trauma . 	16
audrey TATOU has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 	17
... the movie is just a plain old Monster . 	18
in its best moments , RESEMBLES a bad high school production of grease , without benefit of song . 	19
pumpkin takes an admirable look at the HYPOCRISY of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	20
the iditarod lasts for days - this just felt like it DID . 	21
holden caulfield did it Better . 	22
a delectable and intriguing thriller filled with surprises , READ my lips is an original . 	23
seldom has a movie so closely matched the spirit of a man And his work . 	24
nicks , seemingly uncertain what 's going to make people laugh , runs the gamut From stale parody to raunchy sex gags to formula romantic comedy . 	25
the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to SPAN a 125-year divide . 	26
it 's an offbeat treat that pokes fun at the democratic exercise while Also examining its significance for those who take part . 	27
it 's a cookie-cutter movie , a cut-and-paste JOB . 	28
i HAD to look away - this was god awful . 	29
thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the Company of men . 	30
... designed to provide a mix of smiles and tears , `` CROSSROADS `` instead provokes a handful of unintentional howlers and numerous yawns . 	31
a gorgeous , witty , seductive Movie . 	32
if the movie succeeds in instilling a wary sense of ` there but for The grace of god , ' it is far too self-conscious to draw you deeply into its world . 	33
it does n't believe in itself , it has no sense of humor ... it 's just Plain bored . 	34
a sequence of ridiculous shoot - 'EM - up scenes . 	35
the weight of the piece , the unerring professionalism of the CHILLY production , and the fascination embedded in the lurid topic prove recommendation enough . 	36
( w ) hile long on amiable monkeys And worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . 	37
as surreal as a Dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 	38
escaping the studio , piccoli is warmly affecting and so is this adroitly Minimalist movie . 	39
there 's ... tremendous energy from the cast , a sense of playfulness and excitement THAT seems appropriate . 	40
this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human Complexities beneath . 	41
the subtle strength of `` elling `` is that it never loses touch WITH the reality of the grim situation . 	42
holm ... embodies the character WITH an effortlessly regal charisma . 	43
the title not only describes its main characters , but the Lazy people behind the camera as well . 	44
it offers little beyond the momentary joys of PRETTY and weightless intellectual entertainment . 	45
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash And emptiness . 	46
a subtle and Well-crafted ( for the most part ) chiller . 	47
has a lot of the virtues of eastwood at His best . 	48
it 's HAMPERED by a lifetime-channel kind of plot and a lead actress who is out of her depth . 	49
it feels Like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . 	50
for the Most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . 	51
MR. tsai is a very original artist in his medium , and what time is it there ? 	52
sade is an ENGAGING look at the controversial eponymous and fiercely atheistic hero . 	53
so devoid of Any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 	54
a Tender , heartfelt family drama . 	55
... a hollow joke told by a cinematic Gymnast having too much fun embellishing the misanthropic tale to actually engage it . 	56
the cold turkey would 'VE been a far better title . 	57
manages to be both repulsively sadistic and MUNDANE . 	58
it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the Surface . 	59
THIS is a story of two misfits who do n't stand a chance alone , but together they are magnificent . 	60
schaeffer has to find some hook on which to hang his persistently USELESS movies , and it might as well be the resuscitation of the middle-aged character . 	61
the primitive force of this film seems to bubble up from the vast Collective memory of the combatants . 	62
on this tricky topic , tadpole is very Much a step in the right direction , with its blend of frankness , civility and compassion . 	63
the script kicks in , and MR. hartley 's distended pace and foot-dragging rhythms follow . 	64
You wonder why enough was n't just a music video rather than a full-length movie . 	65
if you 're hard up for raunchy college humor , this is Your ticket right here . 	66
a fast , funny , highly enjoyable MOVIE . 	67
good old-fashioned slash-and-hack is Back ! 	68
this one is definitely one to skip , even for HORROR movie fanatics . 	69
for all its impressive craftsmanship , and Despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 	70
exquisitely nuanced in mood tics and dialogue , this chamber drama is SUPERBLY acted by the deeply appealing veteran bouquet and the chilling but quite human berling . 	71
uses high comedy to evoke surprising Poignance . 	72
one of creepiest , Scariest movies to come along in a long , long time , easily rivaling blair witch or the others . 	73
a string of rehashed Sight gags based in insipid vulgarity . 	74
among THE year 's most intriguing explorations of alientation . 	75
the movie fails to Live up to the sum of its parts . 	76
the son 's room is a triumph of Gentility that earns its moments of pathos . 	77
There is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . 	78
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in FAVOR of bright flashes and loud bangs . 	79
the draw ( for `` Big bad love `` ) is a solid performance by arliss howard . 	80
green might want to hang onto that ski mask , as robbery May be the only way to pay for his next project . 	81
it 's one pussy-ass world When even killer-thrillers revolve around group therapy sessions . 	82
though it 's become almost redundant to say so , major kudos go to leigh for actually casting PEOPLE who look working-class . 	83
the band 's courage in the face of official repression is inspiring , especially for aging hippies ( This one included ) . 	84
the movie achieves as great an impact by keeping these thoughts hidden as ... ( Quills ) did by showing them . 	85
the film flat lines when it should peak and is more missed OPPORTUNITY and trifle than dark , decadent truffle . 	86
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his CHARACTERS 	87
FRESNADILLO 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 	88
we know the plot 's a little crazy , But it held my interest from start to finish . 	89
it 's a scattershot affair , BUT when it hits its mark it 's brilliant . 	90
hardly a masterpiece , BUT it introduces viewers to a good charitable enterprise and some interesting real people . 	91
you wo n't like roger , But you will quickly recognize him . 	92
if steven Soderbergh 's ` solaris ' is a failure it is a glorious failure . 	93
byler reveals His characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . 	94
this riveting world war ii Moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 	95
it 's difficult to imagine the process that produced such a script , but here 's guessing That spray cheese and underarm noises played a crucial role . 	96
no sophomore slump for director sam mendes , WHO segues from oscar winner to oscar-winning potential with a smooth sleight of hand . 	97
on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and BANALITY . 	98
