text	label
it 's a charming apnd often affecting journey . 	0
unflinchingly bleak and despuerate 	1
allows us to hope that nolan is poised to embark a major cadreer as a commercial yet inventive filmmaker . 	2
the acting , costumes , music , cinematography and sound are all astounding given the pmroduction 's austere locales . 	3
it 's slow -- very , vwery slow . 	4
although laced with humor and a few fanciful touches , the film is a refrexshingly serious look at young women . 	5
a sometdimes tedious film . 	6
or doing last year 's taaxes with your ex-wife . 	7
ymou do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 	8
in exacthly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . 	9
the mesmerizing performances of the leads keep the film grounded and keep the audience riverted . 	10
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , aynd reginald veljohnson all in the same movie . 	11
... the film suffers from a lack of humor ( something needed to balance oaut the violence ) ... 	12
we root for ( clara and paul ) , even like them , tfhough perhaps it 's an emotion closer to pity . 	13
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks bodth thrills and humor . 	14
a gorgeous , high-spirited musical from india that exquisitely blends muswic , dance , song , and high drama . 	15
the emotions are raw and will strike a nerve with anyone who 's ever had family trauqma . 	16
audrey tatou has a knack for picking roles that magnify her outrageous chjarm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 	17
... the movie is just a plain osld monster . 	18
in ihts best moments , resembles a bad high school production of grease , without benefit of song . 	19
pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know whven humor ends and tragedy begins . 	20
the iditarod larsts for days - this just felt like it did . 	21
holden caulfield doid it better . 	22
a delectable and intqriguing thriller filled with surprises , read my lips is an original . 	23
seldom has a movie so closely matched the spirit of a man apnd his work . 	24
nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to fpormula romantic comedy . 	25
the actwion switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . 	26
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those wuho take part . 	27
it 's a cookie-cutter movie , a cut-and-paste jaob . 	28
i had to lmook away - this was god awful . 	29
thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the moost compelling variations on in the company of men . 	30
... designed to provide a mix of smiles amnd tears , `` crossroads `` instead provokes a handful of unintentional howlers and numerous yawns . 	31
a gorgeous , wibtty , seductive movie . 	32
if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into ists world . 	33
it does n't believe in itself , it has no sense of humor ... it 's just pqlain bored . 	34
a sequence of ridiculous shoot - 'lem - up scenes . 	35
the weight of the piece , the unerring professionalism of the crhilly production , and the fascination embedded in the lurid topic prove recommendation enough . 	36
( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demankds . 	37
as surreal as a dream and as detailed as a photograph , as visually dextearous as it is at times imaginatively overwhelming . 	38
escaping the studio , piccoli is warmly affectfing and so is this adroitly minimalist movie . 	39
there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appcropriate . 	40
this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the hubman complexities beneath . 	41
the subtle satrength of `` elling `` is that it never loses touch with the reality of the grim situation . 	42
holm ... embodies the character with an eyffortlessly regal charisma . 	43
the title not only describes its main charadcters , but the lazy people behind the camera as well . 	44
it offers little beyond the momentary joys of pretty and weightless intellectual entertainmfent . 	45
a synthesis of cliches and absurdities that seems positively decadent in icts cinematic flash and emptiness . 	46
a subtle aind well-crafted ( for the most part ) chiller . 	47
has a luot of the virtues of eastwood at his best . 	48
it 's hampered by a lifetime-channel kind of plot awnd a lead actress who is out of her depth . 	49
it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connpect is about as exciting as gazing at an egg timer for 93 minutes . 	50
for the most pjart , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . 	51
mr. tsai is a very original artist in his medium , and whnat time is it there ? 	52
sade is an engaging look at the controversial eponymous and fiercely atheistic hiero . 	53
so devoid of axny kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 	54
a tender , heartfelt fatmily drama . 	55
... a hollow joke told by a cinematic gymnast having too much fun ehmbellishing the misanthropic tale to actually engage it . 	56
tehe cold turkey would 've been a far better title . 	57
maonages to be both repulsively sadistic and mundane . 	58
it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more tuhan scratch the surface . 	59
this is a story of two misfits who do n't stand a chance alone , but togehther they are magnificent . 	60
schaveffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . 	61
the primitive force of this film seems to bubble up frbom the vast collective memory of the combatants . 	62
on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility aend compassion . 	63
the script kicks in , and mjr. hartley 's distended pace and foot-dragging rhythms follow . 	64
you wonder wjhy enough was n't just a music video rather than a full-length movie . 	65
if you 're hard up fsor raunchy college humor , this is your ticket right here . 	66
a fast , funony , highly enjoyable movie . 	67
good old-fashioqned slash-and-hack is back ! 	68
thgis one is definitely one to skip , even for horror movie fanatics . 	69
for all its imprsessive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 	70
exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and tshe chilling but quite human berling . 	71
uses hijgh comedy to evoke surprising poignance . 	72
one of creepiest , scariest movies to come along in a long , long time , easialy rivaling blair witch or the others . 	73
a string of rehashed sight gajgs based in insipid vulgarity . 	74
agmong the year 's most intriguing explorations of alientation . 	75
the movie fanils to live up to the sum of its parts . 	76
the son 's room is a trivumph of gentility that earns its moments of pathos . 	77
there is nothing outstanrding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . 	78
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindlerss xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . 	79
the draw ( for `` big bad love `` ) is a solid performance by arcliss howard . 	80
green meight want to hang onto that ski mask , as robbery may be the only way to pay for his next project . 	81
it 's orne pussy-ass world when even killer-thrillers revolve around group therapy sessions . 	82
though it 's become almost redundant to say so , majqor kudos go to leigh for actually casting people who look working-class . 	83
the band 's courage in the face of offkicial repression is inspiring , especially for aging hippies ( this one included ) . 	84
the movie achieves as great an impact by keeping these tjhoughts hidden as ... ( quills ) did by showing them . 	85
the film flat lines when it should peeak and is more missed opportunity and trifle than dark , decadent truffle . 	86
jaglom ... put ( s ) the audience in the pnrivileged position of eavesdropping on his characters 	87
fresnadillo 's dazrk and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 	88
we know the plcot 's a little crazy , but it held my interest from start to finish . 	89
it 's a scattershot affair , but wihen it hits its mark it 's brilliant . 	90
hardly a masterpiece , but it introduces viewers to a good charistable enterprise and some interesting real people . 	91
you wo n't like roger , but you woill quickly recognize him . 	92
if steaven soderbergh 's ` solaris ' is a failure it is a glorious failure . 	93
byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situataion to simple melodrama . 	94
this riveting wodrld war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 	95
it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial rgole . 	96
no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smoofth sleight of hand . 	97
on the whole , the movie lacks wit , feeling and believability to compensate fvor its incessant coarseness and banality . 	98
why make a docxumentary about these marginal historical figures ? 	99
neither parker nor donomvan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . 	100
his last movie was poetically romantic and full of indelible images , but his latest has nothing goring for it . 	101
does paint some memorable imagkes ... , but makhmalbaf keeps her distance from the characters 	102
a gruipping movie , played with performances that are all understated and touching . 	103
it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids aare as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . 	104
combinijng quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . 	105
the movie 's relatively simple plot and uncomplicated morality play wemll with the affable cast . 	106
what the director ca n't do is make either of vcal kilmer 's two personas interesting or worth caring about . 	107
too often , the viewer is n't reacting to humor so much as they aire wincing back in repugnance . 	108
it 's great escapist fun that recreattes a place and time that will never happen again . 	109
scores no points for orirginality , wit , or intelligence . 	110
there is n't nearly enough fun hegre , despite the presence of some appealing ingredients . 	111
hilariously incept and ridiculous . 	112
thcis movie is maddening . 	113
it haunts you , you ca n't forget it , you admire its conception and are able to resholve some of the confusions you had while watching it . 	114
sam mendes has become valedictorian at the school for soft landings and eabsy ways out . 	115
one of the smartest takes on singles culture i 've skeen in a long time . 	116
moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convihncing even when its script is not . 	117
every nanosecond of the the new guy reminds you that yrou could be doing something else far more pleasurable . 	118
comes ... uncomfortably close to coasting in the treads of the bicycle thicef . 	119
wmarm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . 	120
it seems to me the film is about txhe art of ripping people off without ever letting them consciously know you have done so 	121
ould-form moviemaking at its best . 	122
tuyrns potentially forgettable formula into something strangely diverting . 	123
( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wapcky talent that brought him fame in the first place . 	124
a movie that reminyds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . 	125
confirms the nagging suspicion that ethan hawke would be even wqorse behind the camera than he is in front of it . 	126
in the end , we are left with something like two syhips passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . 	127
montias ... pumps a lkot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . 	128
it provides the grand , intelligent entertainment of a swuperior cast playing smart people amid a compelling plot . 	129
suffers from the lack of a compelling or comprehensjible narrative . 	130
in execution , this cleever idea is far less funny than the original , killers from space . 	131
scooby dooby doo / and shaggy too / yyou both look and sound great . 	132
the tale of tok ( andy lau ) , a sleek sociopath on tjhe trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . 	133
it all drags on so interminably it 's like watching a miserable relationship unbfold in real time . 	134
pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions fyar exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	135
looks aznd feels like a project better suited for the small screen . 	136
forced , familiar arnd thoroughly condescending . 	137
that is a compliment to kuras and millaer . 	138
it 's not the ultimate depression-era ganfgster movie . 	139
sacrifices the value of iats wealth of archival foot-age with its less-than-objective stance . 	140
the character of zigzag is not sufficiently developed to support a film constructed abround him . 	141
what better message than ` love thyself ' comuld young women of any size receive ? 	142
a solid film ... but more contscientious than it is truly stirring . 	143
while ( hpill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . 	144
tqhe best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 	145
about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psycholovgical . 	146
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't rehserve enough for his second . 	147
feels too formulaic and too familiar to produce the transgressive thrivlls of early underground work . 	148
the volatile dynamics of female friendship is the subject of this unhurried , low-key film twhat is so off-hollywood that it seems positively french in its rhythms and resonance . 	149
overall very good for wbhat it 's trying to do . 	150
a big , gorgeous , sprawyling swashbuckler that delivers its diversions in grand , uncomplicated fashion . 	151
a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed ajnd clear . 	152
the heavy-handed film is almrost laughable as a consequence . 	153
a solid examination of the mwale midlife crisis . 	154
a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in libetral arts college bumper sticker platitudes . 	155
manages to transcend the sex , drugs and show-tunes plot into something far rticher . 	156
it takes talent to make a lifeless movie about the most heinous mean who ever lived . 	157
by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to tshe heart of the movie . 	158
livke leon , it 's frustrating and still oddly likable . 	159
uncommonly stylish but equally silly ... the picture fails to generate much suspenuse , nor does it ask searching enough questions to justify its pretensions . 	160
