text	label
's charming it and often a affecting journey .	0
unflinchingly bleak desperate and 	1
poised major allows a is that to nolan us hope to as embark career a commercial yet inventive filmmaker .	2
astounding the are music all sound , costumes , the , given cinematography acting and production 's austere locales .	3
slow it 's -- very , very slow .	4
although laced , a fanciful serious is refreshingly film young with at few look touches the and a women humor .	5
a sometimes film tedious .	6
or doing last year taxes ex-wife 's with your .	7
know n't you do have about to music to appreciate the film 's easygoing blend of comedy and romance .	8
in exactly 89 minutes , most of which passed as slowly as if i 'd been turkey , jerky quirky to sitting from an 51 utter sank on to naked formula igloo .	9
the grounded film performances leads of the keep the mesmerizing and keep the audience riveted .	10
waste reginald laziness , veljohnson to a all robert takes kind strange in it , of , forster meara the the levy of eugene anne talents and same movie .	11
( suffers of film a lack from the ... humor something needed to balance out the violence ) ... 	12
) paul even like root ( we and for , clara them , though perhaps it 's an emotion closer to pity .	13
horror even fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .	14
musical india from , a high-spirited gorgeous that exquisitely blends music , dance , song , and high drama .	15
strike will raw and the a are emotions nerve with anyone who 's ever had family trauma .	16
has outrageous a knack , in magnify she she and roles audrey for literate was that in exuberant morning-glory as tatou , her this picking french 's as comedy charm amélie .	17
... the movie is just a plain monster old .	18
in its best moments , resembles a bad high school production of grease , without benefit song of .	19
pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and begins tragedy .	20
the days felt it - for iditarod did just this lasts like .	21
caulfield holden did it better .	22
thriller with read and surprises intriguing filled delectable a , my lips is an original .	23
seldom has a movie so closely matched the spirit of work a man and his .	24
nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags romantic to formula comedy .	25
the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport divide to span a 125-year .	26
it 's an offbeat treat that pokes fun at the democratic part take while significance examining exercise also for its those who .	27
it 's a cookie-cutter movie , a job cut-and-paste .	28
to i - away look had was this god awful .	29
thanks to scott 's charismatic roger and eisenberg most the men is sweet roger the compelling 's nephew , on of in of company one variations dodger .	30
to provide ... designed a mix of smiles and tears , `` crossroads `` instead provokes a handful of unintentional howlers and numerous yawns .	31
seductive , witty gorgeous , a movie .	32
in instilling sense if ` succeeds the a movie wary of there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world .	33
it does n't believe in itself , it no it humor ... bored just of has 's sense plain .	34
sequence of ridiculous a shoot - 'em - up scenes .	35
the weight of the piece , of the the unerring and enough embedded lurid the production chilly topic professionalism prove the fascination , in recommendation .	36
( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the medium thrills the oversize demands .	37
photograph a dream as as detailed as surreal as , a and as visually dexterous as it is at times imaginatively overwhelming .	38
and affecting this is warmly , so piccoli escaping studio the is adroitly minimalist movie .	39
there ... that playfulness 's tremendous sense appropriate the cast , a of seems and from energy excitement .	40
illuminating vision and the inhabitants the land our preconceived transcends holy revealing , documentary its of this human complexities beneath .	41
the subtle strength of `` elling `` is that it never touch with situation grim of the loses the reality .	42
holm ... embodies with regal charisma the character effortlessly an .	43
characters describes main but the , its only not title the lazy people behind the camera as well .	44
offers and it momentary little joys beyond the of pretty weightless intellectual entertainment .	45
seems and positively decadent of in flash cliches that absurdities synthesis a its cinematic and emptiness .	46
a subtle and well-crafted ( most chiller for the part ) .	47
of has a the lot virtues of eastwood at his best .	48
lifetime-channel kind and plot by 's a hampered of it a lead actress who is out of her depth .	49
up special after-school it special as feels exciting its fancy gussied rote and is effects points about watching as , with like an plot connect some gazing at an egg timer for 93 minutes .	50
for the most part feature drama well-acted extraordinarily sensitive director a 's anne-sophie , , first birot is .	51
mr. time is artist there a , it original very medium tsai and what in his is ?	52
sade is an engaging look at the controversial atheistic hero eponymous fiercely and .	53
so devoid of any kind of intelligible story that it makes and xxx films damage like thoughtful treatises seem collateral like 	54
a tender family , drama heartfelt .	55
... a hollow cinematic actually told much by engage misanthropic joke having too to a the embellishing tale gymnast fun it .	56
would the cold been a turkey 've far better title .	57
manages mundane and repulsively both to sadistic be .	58
has be the a a disappointingly -- superficial it necessary movie all just elements 's that to fascinating , involving character study , but never does more than scratch the surface .	59
this is a story of two misfits who do n't stand a chance alone magnificent they but are , together .	60
and useless his it to find hang might to has on as movies be some which schaeffer hook resuscitation persistently well , of the the middle-aged character .	61
